Top pages,Clicks,Impressions,CTR,Position
https://unireal.study/fa/universities/dalhousie-university,0,2,0%,41.5
https://unireal.study/en/universities/al-ahliyya-amman-university,0,2,0%,42.5
https://unireal.study/en/universities/georg-august-universitat-gottingen,0,2,0%,54
https://unireal.study/en/fields/arts-design/bulgaria,0,2,0%,56.5
https://unireal.study/en/universities/universite-vincennes-saint-denis-paris-viii,0,2,0%,60.5
https://unireal.study/en/universities/northumbria-university,0,2,0%,61.5
https://unireal.study/ro/fields/psychology/moldova,0,2,0%,66.5
https://unireal.study/en/universities/icfai-university-raipur,0,2,0%,70
https://unireal.study/en/study-in/slovakia,0,1,0%,1
https://unireal.study/en/universities/instituto-superior-de-assistentes-e-interpretes,0,1,0%,2
https://unireal.study/ro/fields/business-management/czech-republic,0,1,0%,2
https://unireal.study/en/universities/roxbury-community-college,0,1,0%,3
https://unireal.study/fa/fields/dentistry,0,1,0%,4
https://unireal.study/fa/universities/angkor-university,0,1,0%,4
https://unireal.study/ro/universities/sichuan-agricultural-university,0,1,0%,4
https://unireal.study/fa/universities/debrecen-university-of-agricultural-sciences,0,1,0%,5
https://unireal.study/ro/universities/university-of-toronto,0,1,0%,5
https://unireal.study/fa/fields/engineering/romania,0,1,0%,6
https://unireal.study/fa/universities/tribhuvan-university,0,1,0%,6
https://unireal.study/ro/universities/university-of-tartu,0,1,0%,6
https://unireal.study/en/universities/university-of-crete,0,1,0%,7
https://unireal.study/en/universities/university-of-trnava,0,1,0%,7
https://unireal.study/ro/universities/florida-southwestern-state-college,0,1,0%,8
https://unireal.study/en/universities/gorgan-university,0,1,0%,9
https://unireal.study/fa/universities/old-dominion-university,0,1,0%,9
https://unireal.study/fa/fields/medicine/moldova,0,1,0%,10
https://unireal.study/fa/study-in/slovenia,0,1,0%,10
https://unireal.study/fa/universities/liverpool-john-moores-university,0,1,0%,10
https://unireal.study/ro/universities/gansu-agricultural-university,0,1,0%,10
https://unireal.study/en/universities/western-michigan-university,0,1,0%,11
https://unireal.study/fa/universities/new-york-university,0,1,0%,16
https://unireal.study/fa/universities/mid-western-university,0,1,0%,28
https://unireal.study/en/universities/christian-albrechts-universitat-kiel,0,1,0%,35
https://unireal.study/en/universities/university-of-jyvaskyla,0,1,0%,43
https://unireal.study/ro/universities/university-of-portsmouth,0,1,0%,44
https://unireal.study/en/universities/debrecen-university-of-agricultural-sciences,0,1,0%,45
https://unireal.study/ro/universities/georgian-court-university,0,1,0%,45
https://unireal.study/fa/universities/university-of-tehran,0,1,0%,48
https://unireal.study/en/universities/ohio-university,0,1,0%,50
https://unireal.study/en/universities/university-of-oslo,0,1,0%,55
https://unireal.study/en/fields/pharmacy/bulgaria,0,1,0%,58
https://unireal.study/en/universities/nanjing-university-of-aeronautics-and-astronautics,0,1,0%,59
https://unireal.study/en/universities/xiamen-university,0,1,0%,72
https://unireal.study/en/universities/american-university-of-rome,0,1,0%,79
https://unireal.study/en/universities/alfred-university,0,1,0%,82
https://unireal.study/en/fields/law/hungary,0,1,0%,86
https://unireal.study/ro/universities/central-saint-martins-college-of-art-and-design,0,1,0%,90
